"HH Data by group, Site Group Manchester City Football Club, Start Date 01/06/2025, End Date 01/06/2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_Code1,,Date,Day,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00,TotalUnits
1650000208876,Co Op Live Arena,01/06/2025,Sunday,504,512.5,523,548.5,557,533,528,524.5,538,565.5,517,504.5,471.5,470.5,396,369.5,441,359,429.5,415,498.5,468,440,451.5,594,568.5,488.5,380.5,422,529.5,609.5,494,489,395.5,450,599,562,627,685,727.5,725,759.5,754,744.5,724,711,671,646,25922
1650000208876,Co Op Live Arena,02/06/2025,Monday,587.5,557.5,576,576.5,570.5,571,555.5,559.5,567.5,564.5,528,520,514,450,432,472.5,436.5,417.5,420.5,418.5,419.5,423.5,417,390,373,397.5,390.5,420.5,394,382,407,407,420,412,400,331,262,289.5,310.5,350,401,410.5,438.5,405.5,427,425.5,390,400.5,21190.5
1650000208876,Co Op Live Arena,03/06/2025,Tuesday,405.5,381,404.5,398.5,399.5,386,437.5,464,442,410,396.5,370.5,374.5,399,436.5,437.5,400.5,315.5,282.5,296,287.5,311.5,301.5,284,281.5,293.5,299.5,290.5,375,311.5,322.5,367.5,296.5,283,244,351.5,420,402.5,448.5,442,420.5,439,474,465,480,488.5,417.5,394.5,18030.5
1650000208876,Co Op Live Arena,04/06/2025,Wednesday,400,405.5,410.5,391.5,392.5,391.5,380.5,389.5,417,434.5,404,387.5,363.5,328,355,293,256,231.5,289,309.5,308,283.5,294.5,296,288.5,292,284,314.5,304,307.5,324,341,351.5,316,255,295.5,312,342.5,353,382,410.5,423,456.5,447,427,434.5,406,402,16881.5
1650000208876,Co Op Live Arena,05/06/2025,Thursday,394.5,373.5,408.5,381.5,381,389.5,398.5,410.5,428,415.5,392.5,362.5,359.5,378,408,437,455.5,405.5,363.5,410.5,357.5,306.5,361,388,292.5,349,381.5,373.5,465.5,389.5,456,496,504,501.5,551.5,628,632,706,747.5,750,735,737,702.5,692,686.5,689.5,649.5,626.5,23109
1650000208876,Co Op Live Arena,06/06/2025,Friday,611.5,596,576.5,487,419,424.5,460,470,450,449.5,423.5,414,355.5,365,401,362,282.5,321.5,336.5,293,303.5,325,332,331.5,316.5,278,278.5,296,311,291.5,307,270.5,280,294,265,274.5,293.5,260,310,380,354.5,342,406,409,444.5,427.5,393,361.5,17634.5
1650000208876,Co Op Live Arena,07/06/2025,Saturday,361,376,381.5,399,396.5,370.5,386,413,410.5,392,391.5,354.5,373.5,357,351.5,343,351.5,336,324,326,314,317.5,368,453,349,282.5,305.5,405.5,337,304,364,376.5,395.5,524.5,644.5,711.5,668,699,737.5,805,765.5,746.5,737.5,738,710,703,612,520,22289
1650000208876,Co Op Live Arena,08/06/2025,Sunday,488,344.5,321.5,419,428,407.5,404,432,459,432,423.5,412,379.5,409.5,345.5,306.5,297.5,306,338.5,292.5,299,352,306.5,413,433.5,467,365.5,344.5,333.5,385.5,419.5,409,467,658,703,665.5,706.5,746,814.5,822.5,812,813.5,788.5,759.5,739,711,666,649.5,23697
1650000208876,Co Op Live Arena,09/06/2025,Monday,620,498,469,464,450,449.5,450.5,453,469.5,459,450,438.5,443,421,434,415,410.5,404.5,365.5,372,333,300,296.5,321.5,388,398.5,318,359,372.5,390.5,414.5,421.5,423.5,404.5,422.5,416.5,466.5,478.5,461,462.5,440,426,471,468.5,490,524.5,423.5,406.5,20435.5
1650000208876,Co Op Live Arena,10/06/2025,Tuesday,383.5,401,380.5,380.5,359,371,375,413.5,410.5,389.5,387.5,398,373.5,380.5,387,371,324,303.5,251,316.5,323.5,342.5,333.5,333.5,342.5,347.5,356,334.5,363.5,358,357.5,355,389,484.5,577.5,574,666.5,749.5,846.5,861,909.5,848,822.5,808,785.5,756.5,634.5,737,22954
1650000208876,Co Op Live Arena,11/06/2025,Wednesday,637,490.5,470,445.5,450.5,434,442.5,461,451.5,456,438,423.5,402.5,363.5,346,327,297.5,312.5,319.5,348.5,288.5,287,326.5,300,306,315.5,364.5,284,314,323.5,329.5,387.5,438,665.5,765,853.5,852,948.5,1,1,1,985,953.5,947,947,943,931,902,23277.5
1650000208876,Co Op Live Arena,12/06/2025,Thursday,857,528.5,475,469.5,457.5,454,480.5,468,459,453.5,449.5,425,414,402,379,374,327,371.5,414,260,244,307.5,337,433.5,474.5,370.5,458,444,565.5,602.5,555.5,599,671.5,663,821.5,850,854,874.5,943.5,905.5,920.5,907.5,885.5,883,879.5,961,935.5,881,28147
1650000208876,Co Op Live Arena,13/06/2025,Friday,533,489.5,490,476,473,450.5,464.5,509.5,490.5,479,466,447,433,401,398.5,364.5,331.5,326,340.5,326,319.5,403.5,344.5,342,383,382.5,371.5,369,381.5,343.5,338.5,379,386.5,442.5,441.5,572.5,760,933,1,1,1,1,1,991.5,1,1,925,780,19287
1650000208876,Co Op Live Arena,14/06/2025,Saturday,705,523.5,519,500,492,487.5,499,482.5,487.5,488,486.5,474,452,436,363.5,377.5,441,443,425.5,307,405,382,325,391.5,296.5,359.5,375,357,631,616.5,497,586.5,450,538.5,528.5,522.5,609.5,684.5,726,670.5,687.5,683.5,686.5,619.5,607.5,625.5,585,568.5,24406
1650000208876,Co Op Live Arena,15/06/2025,Sunday,546.5,550,554,528,522.5,541.5,569.5,565.5,575.5,571,540,543,529,482,521.5,499,457.5,335.5,402.5,450.5,439.5,438.5,452.5,455,469,492,469,497.5,543.5,585.5,688,713.5,673.5,818.5,798,815.5,902,917,978,988.5,981.5,936,939.5,930,899.5,896,846,814.5,30662
1650000208876,Co Op Live Arena,16/06/2025,Monday,779,693.5,627,609.5,600.5,592,606,604,596.5,606,568,560.5,541.5,531.5,515,445,441,469,490,499.5,473,496.5,556,523.5,505,550.5,550.5,583,567,585,600.5,599.5,563,596,649.5,694,970,1,1,1,1,1,1,1,1,1,912.5,579,22938
1650000208876,Co Op Live Arena,17/06/2025,Tuesday,528.5,522,510,513,512,523.5,550,544,517,494.5,495.5,494.5,474,483.5,489.5,468.5,401.5,343,261,238.5,237.5,346,348.5,370.5,361.5,300.5,349.5,356,474.5,626.5,650.5,637,636.5,879.5,902,903,976.5,983.5,983,970.5,846.5,815,824.5,810.5,828.5,810,695,623.5,27910.5
