# Etihad Stadium combined HH (MPAN 5 + 16 + 15), supplied by James 03/06/2026.
# Date range: 23/05/2024 to 21/05/2026. 729 day rows.
Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00,Total kWh
23/05/2024,387.1,381,374.3,381.9,379,375.3,376.4,372.6,376.5,370.4,389.9,404.5,454.9,469.1,509.9,523.3,531.9,556.5,548,550.4,564.6,563.1,552.6,538.9,526.1,532.1,541.5,537.7,515.3,530.4,546.9,488.9,476.2,482.4,452.3,443.3,419,422.9,396.5,386.5,386.4,389.4,401,391,386.2,390.5,383.2,374.8,21732.600000000006
24/05/2024,373.7,381.6,381.9,381.1,381.7,375.7,370.9,364.4,374,370.7,382.9,394.4,436.7,446.4,470.1,479.5,488.6,500.6,530.7,512.1,501,499,504.7,492.8,500.5,506.1,507.9,499.2,507.8,509.9,498.8,483,469.5,457.3,455.1,458,428.3,419.3,402.6,391.3,406.5,402.4,397.8,392.2,397.3,399.7,387.7,390.8,21064.199999999997
25/05/2024,384.7,392.4,388.7,393,388.1,393,391.9,391.1,385.3,383.6,381.1,388.9,412.4,408.3,404.3,437,436.2,432.7,431.9,434.8,426.6,430.6,433,412.1,412.7,412.2,411.5,414.8,417.9,405.1,404.7,405.5,407.5,402,394.4,402.6,377.4,378.1,385.6,378.1,380.7,392.9,384.3,388.9,386.6,375.5,371.6,379.5,19231.800000000003
26/05/2024,377.2,374.9,377.4,379.1,373.2,372.6,375.4,378.8,368.1,371.6,365.6,373.2,390.1,389.4,375.2,378.9,388.8,391.9,390.1,401.6,394,391.2,390,393.9,395.7,395.8,397.3,392.9,387.9,400.5,394.2,392.5,381.7,382.8,370,377.2,379.8,367.8,366.4,370.9,381.6,382.8,382.7,376.5,385.4,376.6,374.8,376.1,18352.099999999995
27/05/2024,384.8,382.3,383.2,379.8,383.9,383.5,373.3,384.5,372.8,372.1,376.8,387.8,412.9,418.8,434.5,435.7,432.1,437.7,440.1,442.2,441.7,445.8,435.3,444.9,444.8,447.7,449.1,446.7,447.2,447,448.8,432.8,411.2,414.3,415.6,408.2,392.2,394.9,387.4,386.5,391.2,395.7,392.5,395.6,389.8,381.4,390,382.9,19680.000000000004
28/05/2024,388.7,392.1,390.8,398.1,399.7,421.4,431.1,429.4,422.8,424.9,440.3,420.4,435.6,432,428.8,433.4,456.3,452.2,456.4,458.4,461.4,477.3,483.3,460.6,468.1,465.5,460.5,456.3,446.1,447.1,446.1,456,463.3,455.2,458.2,447.6,449.2,453.5,462,454.7,463.4,454.3,430.4,418.8,411.5,405.5,400.6,407.7,21077
29/05/2024,402.5,398.7,400.8,406.9,398.4,397.9,393.3,399.2,402.5,399.8,402.9,427.8,479.7,478.9,470,494.6,499,505.4,523,534.2,537.5,561.5,570.2,555.2,544.9,515.9,517.1,506.7,503.1,486.2,465.9,464.9,449.4,446.8,433.6,446.3,454.1,444.1,437.6,452.2,452.8,447.7,453.9,460,431.8,418.3,415.7,413.3,22102.199999999997
30/05/2024,414.3,414.3,416.5,412.9,416.9,415.3,411.8,415.2,418.9,415.5,428.7,443.3,460.4,482.7,488.5,487.8,487.5,577,646.8,653.7,655,645.3,489.7,517.7,512.1,513.5,494.1,502,469.9,463.7,464.9,447.6,440.2,441,429.9,422.6,413.9,413.4,402.1,402.9,402.5,412.5,406.7,398.9,410.3,404.5,396.8,394.9,22076.600000000006
31/05/2024,406.5,397.9,396.6,397,403,397.5,395.4,396.1,397.1,402.8,406.1,408.3,447.1,462.1,469.5,493.4,502.8,505.2,491.2,485.6,506.8,511.5,507.6,498,516.1,496.2,477.9,484.2,489,470.6,469,478.9,483.3,470.9,447.2,457.6,454.1,434.4,423.3,411.9,418.9,410,403.7,413,408.5,401.6,403.7,411.1,21420.2
01/06/2024,407.2,405.7,411.6,402.5,401.6,398.8,410,398.1,387.8,393,395.3,409.2,450.6,463.8,463.6,470.3,464.1,460.1,474.1,468.5,492.4,459.5,477.3,467.4,454.7,465.6,462.2,464.9,463.9,473.1,468.5,451.6,451.8,456.3,428.1,424.9,425,417,408.5,409.3,402.1,405.4,397,398.8,405.2,400.1,396.4,401.7,20764.6
02/06/2024,391.2,397.3,398.9,397.2,390.1,396.6,401.5,392.5,387.2,390.9,395.3,393.3,397.4,394.8,399.8,400.4,404.7,406.3,410.6,406.6,404.1,411.4,407,406.4,409.6,416.7,413.9,409.4,412.1,404.4,405.2,400,388.5,383.6,371.6,370.7,373.2,366.3,366.1,375.9,372.9,364.4,373.3,374.2,373.2,366.1,366.7,365.3,18804.800000000003
03/06/2024,368.7,364.6,372.7,373.6,368.6,364.1,366.5,364.9,359.7,380.6,374.2,390.1,406.8,414.8,425.6,452.5,464,442.4,439.9,458.2,461.5,453.4,450.1,442.4,445.7,440.4,443.4,433,434.4,434.7,409.7,409.4,400.1,396.7,409,393.2,399.4,389.3,385.4,391.1,398.3,387.5,386.4,395.3,387,386.1,394.7,384.7,19494.800000000003
04/06/2024,387.7,394.9,388.6,387.6,388.1,378.7,362.5,362.4,375.6,369.7,378.2,384.5,407.4,415.9,439.5,447.6,464.5,476.4,490.7,473.3,486.3,486.9,488.7,474.1,486.8,499.7,476.7,453.7,464.4,447.8,449.8,438,443.6,435,406.8,402.2,393.6,387.1,382.3,384.7,372.7,366.2,374.9,382.9,371.4,373.2,369.8,372.7,20045.800000000007
05/06/2024,376.1,369.3,374.9,381,374.3,370.2,373.2,373.9,367.4,375.2,391.1,400.5,436.9,474,498.2,509.4,524.4,524.2,526.2,528.1,532.7,535.5,538.4,532.1,520.9,519.6,506.5,512.2,503,514.5,493.2,493.5,488,461.2,436,418.8,403.3,416.5,428.1,381.7,373.9,372.3,380,378.1,369.9,372.2,379.7,374.4,21184.700000000004
06/06/2024,377.4,374.4,373.2,378.1,370.6,377.7,375.5,379.8,381.1,388.1,384.5,408.4,493.1,478.3,517.9,508.6,504.1,525.1,544.1,537.9,510.9,513.1,520.8,515,524.6,527.7,507.3,493.9,487.9,482.7,461.8,450.7,442.9,440.1,430.3,405.5,394.5,396.4,392.2,398.6,396.9,391,383.7,379,368.7,367.7,356.3,361.6,20979.7
07/06/2024,367.3,360.5,358.8,356,354.2,363.4,360.2,359.7,359.5,373.7,378.2,387,403.2,423.1,439.5,453.9,454,452.7,450,478.1,462.3,470.6,487.6,474.1,473.6,479.6,485.1,476.6,478.3,490.2,483.3,479.1,448.1,432,438.8,429.4,424,414.3,424.7,419.2,417.1,410.8,384.6,387.4,365.5,366.9,365.6,369.6,20171.399999999998
08/06/2024,363.2,362.1,357.9,373.2,357.6,361,370.3,362,373.2,362.6,367.9,364.6,378.4,372.3,379.1,379.8,403.7,396.4,385.6,389.9,390.8,391.9,390.4,400.9,393.5,387.6,391.8,393.7,389.6,380.5,385,394.4,384.9,376.7,366.8,360.4,361.8,354.1,353,357.3,361.3,370.5,369.5,363.7,359.3,357.6,357.9,361.1,17966.799999999996
09/06/2024,366.9,356.9,356.9,358.1,362.4,362.9,359.3,360.2,358.8,370.7,363.4,371.8,391,379.2,382.3,372.4,372.9,377.5,383.6,390.1,386.7,379.6,383.9,383.3,380.5,372.3,391.7,384.2,376.9,375.7,381.5,363.3,362.3,371,365.6,365.6,356.5,367,353.7,357.4,360,362.1,352.2,353.4,355.4,354.7,358,352.3,17704.100000000002
10/06/2024,349.3,341.1,349.1,357.8,353.3,349.1,351.1,348,347.5,360.4,371.2,368.4,400.2,411.6,444.1,454,456.2,461.8,457.9,460.5,460.8,451.1,454,465.6,450.3,455.6,448.1,442.9,427.4,431.3,432.3,431.9,399.6,396.8,403.2,382.3,380.8,386.3,387.3,386.1,392.2,372.3,360,363.7,352.4,366.8,355.2,357.5,19186.399999999998
11/06/2024,358,362.7,358.9,349,349.8,348.7,348.8,355.2,341.4,358,372.3,376,408.4,422.3,417.8,433,457.6,469.3,474.9,455.1,447.5,452,450.4,439,453.8,453.6,449.6,427.5,410.1,407.4,417.1,392.6,398.5,385,374.1,373.6,385.2,388,384.3,381.5,378.1,376.3,364.3,371.5,366.8,366.1,372.4,356,19039.5
12/06/2024,358.8,361.1,363.6,357.7,352.2,348,343.4,336.9,349.3,362.3,385.2,385.3,431.5,446.9,460.4,468.7,467.8,478.9,494.3,504.3,521.9,530.9,521.3,526.1,533.2,508.3,494.5,499.9,473.8,445.2,457.3,444.1,457.7,491.1,491.2,438.9,404,390.2,383.9,395.1,383.7,383.7,381.5,381.1,376.6,372.2,370.9,357.2,20472.100000000002
13/06/2024,355.5,354,352.1,352.5,354.5,351.7,352.6,350.2,350.2,360.7,393.3,393.7,429.3,446.6,458.5,464.4,480.1,475.4,461.1,476,494.3,484,490.2,491,479.7,470.1,460.9,459.6,476.1,440.8,426.1,425.3,406.5,390.1,371,380.7,378.5,391.5,372.3,374.8,371.6,370.8,373.1,362.1,350,354.7,352.4,352,19562.6
14/06/2024,348.9,350.5,341.8,350.5,344.2,348.7,352,349.8,341.3,351.1,365.8,367.4,382.9,418.8,409.3,442.6,430.9,452.5,442.8,464.2,455.1,470,462.9,456.6,454,461.1,439.8,438.2,421.3,409.3,417.5,408.8,393.7,394.7,388.4,375,380.3,373.6,370.8,371.2,369.3,362.3,365.2,368.6,362.3,365,349.3,349.9,18890.199999999997
15/06/2024,350,349.6,341.4,348.9,343.9,341.2,340.3,336.5,346.8,344.5,349.4,358.2,378.9,365.1,367.8,368.8,366.5,373.8,384.6,373.6,375.5,373.6,364,367.1,361.8,370.6,374.1,365.9,365.7,366.6,366,378.6,396.1,368.3,364.5,363.3,346.2,352.4,363.2,353.9,360.1,356.4,360.6,360.1,362.5,349.9,349.9,346.6,17313.300000000003
16/06/2024,346.1,353.9,346.6,348.5,342,350.9,346.6,339.7,344.2,341.6,340.3,353.9,373.6,362.8,361.7,366.4,371.7,372.6,366.5,365.6,375.6,369.7,366.2,373.6,375.7,365.9,369.1,363.4,370.1,364.5,371.3,365,363.3,356.4,364.5,349.9,363.6,355.4,360.9,360.1,377.8,395.4,363.3,354.1,352.6,355.1,347.8,341.8,17287.299999999996
17/06/2024,348,351.1,347.5,344.4,343.8,348.8,342.1,344,349,352.9,353.8,361.8,403,392.7,407,406.1,417.2,423.7,421.9,430,432.9,436.3,430,425.7,437.8,441.7,425.2,425.2,424.5,413.4,410.3,396.9,396.9,380.3,407.3,372,377.8,360.9,361.1,351.7,346.6,353,358.7,351.4,349.4,353,350.3,346.8,18405.899999999998
18/06/2024,347.4,353.7,344.5,338.8,340.6,345.1,347.7,349.6,343.9,363.7,374,391.5,434.1,442.3,442.3,437.1,444.6,440.2,464.9,466.6,481.1,472.5,454.8,459.6,470.3,465.2,461,458.5,453.9,440.1,451.9,436.5,439,424.9,426.9,406.3,387.6,387,374.9,372.3,376.6,383.1,371.5,376,374.3,374.9,372,370.8,19536.099999999995
19/06/2024,371.8,367.2,370.4,370.9,368,376.2,372.2,361.9,362.6,378.1,401.9,395.2,457.3,472.4,472.5,479.1,474.1,470.4,455.7,472.6,479.6,488,479.5,470,444.9,446,449,438.1,435.3,436.6,431,426.1,413.5,411.6,412.3,396.1,403.2,404.9,393.3,378.4,378.2,365.3,374.1,377.4,361.6,359.7,361.8,358.7,19824.7
20/06/2024,362.6,363.4,360.1,365.8,357.8,360,357.6,361.1,355.9,366.7,399,390.1,404.9,438.3,457.2,463,455.8,468.1,463.3,473.9,478.5,478.9,482.2,474.1,485.1,503.4,495.6,480.1,481.3,465.1,441.9,435.2,417.7,408.6,403.3,387.6,380.1,388.5,381.6,379.6,379.4,381.5,394.9,389.8,382.8,384,379.3,376.4,19941.100000000002
21/06/2024,372.8,372.1,372.9,368,362.9,368.5,371.9,356.5,358.4,376.9,395.7,387,406.5,432.9,418.9,424.1,432.3,417.9,459.2,422.9,426.1,433,435.5,422.1,438.1,443.2,442.5,436.7,434.6,427.8,429.2,423.7,427.8,419.9,430.5,421,405,405.9,398.8,400,396.8,402,391.7,388,381.4,368.7,369,362,19439.300000000003
22/06/2024,365.1,364,359.1,367.4,354.3,353.3,354.5,360.2,350.3,355.2,362.9,361.5,364.5,361,373.3,379.1,379.7,379.1,382.5,391,387.3,387.2,392,387.3,387.4,397.8,386.4,402.1,400.9,385.8,389.4,390,380.6,374.7,385.3,377.1,363.2,370.6,363.5,360.3,373.6,366.3,367.4,374.7,367.6,361,376.1,355.8,17929.399999999994
23/06/2024,364.9,369,363.8,362.3,364.1,363.7,358.9,366.8,359.3,356.7,365.8,364.2,380.8,370.9,375.6,383.1,378.2,388.2,389.4,397.3,379.1,392.9,401.3,382.8,388.7,397,395.4,383.1,392.3,390.9,386.9,393,381.4,382.8,380.6,371.7,375.9,374.6,361.7,352.5,361.9,371.7,360,356.7,360.1,354.5,362.8,345.4,17960.699999999997
24/06/2024,362.6,352.9,359.6,351.8,356.1,357.4,351.7,354.1,365.7,362.6,370,382.5,394.7,403.6,424.5,440.3,451.4,446.7,444.9,442.5,467,459.9,463.8,454.3,461.9,481,473.9,470.8,461.5,449.4,442.9,446.1,440.4,434.1,441.3,470.4,429.8,417.8,417.1,416.4,417.4,400.4,398.1,384.6,376.7,370.8,360,362.4,19845.799999999996
25/06/2024,366.1,358.8,361.3,364,358.9,360.5,352.9,359.2,348.1,366.9,373.2,383.5,387.2,413,421.6,435.7,442.8,462.1,494,530.6,526.7,515.5,532,512.6,504.2,523,522.4,527.9,524.3,511.2,508.2,524.5,520.5,510.9,497.3,492.1,481.4,483,463.9,471,462.5,456.6,455.7,453,453.8,425.8,396.2,387.4,21584.000000000004
26/06/2024,380.2,374.2,377.5,385.8,372.4,376.1,376.3,370.4,372.5,382.9,391.8,396.5,418.9,418.1,453.5,464.6,466.1,464,494.2,510.7,524,540,545.3,550.9,551.3,553.6,536.7,528.1,522.5,531.8,530.5,544,541.3,530.2,508.7,496,488.4,500.3,487.8,483.9,480.7,463.1,464.2,446.6,421.8,400.8,408.3,395.2,22222.699999999997
27/06/2024,394.4,392.7,390.4,385.2,386.8,389.6,385.4,386.7,390.2,390.1,414.7,402.3,442.3,442.2,484.6,479.2,503.4,492.2,494.7,504,519.5,519.1,517.8,508.2,489.9,479.1,478.7,474.4,457.9,451.4,447.2,447.4,474.4,472,459.4,452.4,467.3,456.3,442.8,455.4,442.1,437.3,441.6,430.6,425.5,413.8,381.9,374.7,21369.199999999993
28/06/2024,383.3,379.4,379.2,379.5,375.8,375.4,379.8,375.8,375.2,373.9,382.1,385.7,400.3,402.4,414.9,455.3,389.4,400.4,450.8,444.9,439.8,443.1,465.6,450.5,455.9,461.2,428,408.8,408.9,410.7,398.7,398.8,390.6,399.3,398.1,386.8,425.7,412.4,417,406.5,395.8,389.7,398.3,386,362.6,352.5,343.4,345,19283.2
