Hour,Month,Day,Hour of Day,Generation (kWh)
1,1,1,0,0.000
2,1,1,1,0.000
3,1,1,2,0.000
4,1,1,3,0.000
5,1,1,4,0.000
6,1,1,5,0.000
7,1,1,6,0.000
8,1,1,7,0.000
9,1,1,8,0.000
10,1,1,9,3.013
11,1,1,10,7.589
12,1,1,11,10.117
13,1,1,12,18.785
14,1,1,13,31.146
15,1,1,14,14.603
16,1,1,15,6.735
17,1,1,16,0.000
18,1,1,17,0.000
19,1,1,18,0.000
20,1,1,19,0.000
21,1,1,20,0.000
22,1,1,21,0.000
23,1,1,22,0.000
24,1,1,23,0.000
25,1,2,0,0.000
26,1,2,1,0.000
27,1,2,2,0.000
28,1,2,3,0.000
29,1,2,4,0.000
30,1,2,5,0.000
31,1,2,6,0.000
32,1,2,7,0.000
33,1,2,8,0.000
34,1,2,9,4.676
35,1,2,10,24.608
36,1,2,11,32.482
37,1,2,12,29.295
38,1,2,13,29.169
39,1,2,14,27.985
40,1,2,15,9.606
41,1,2,16,0.000
42,1,2,17,0.000
43,1,2,18,0.000
44,1,2,19,0.000
45,1,2,20,0.000
46,1,2,21,0.000
47,1,2,22,0.000
48,1,2,23,0.000
49,1,3,0,0.000
50,1,3,1,0.000
51,1,3,2,0.000
52,1,3,3,0.000
53,1,3,4,0.000
54,1,3,5,0.000
55,1,3,6,0.000
56,1,3,7,0.000
57,1,3,8,0.000
58,1,3,9,1.102
59,1,3,10,16.907
60,1,3,11,4.984
61,1,3,12,6.408
62,1,3,13,9.708
63,1,3,14,4.195
64,1,3,15,1.842
65,1,3,16,0.000
66,1,3,17,0.000
67,1,3,18,0.000
68,1,3,19,0.000
69,1,3,20,0.000
70,1,3,21,0.000
71,1,3,22,0.000
72,1,3,23,0.000
73,1,4,0,0.000
74,1,4,1,0.000
75,1,4,2,0.000
76,1,4,3,0.000
77,1,4,4,0.000
78,1,4,5,0.000
79,1,4,6,0.000
80,1,4,7,0.000
81,1,4,8,0.000
82,1,4,9,8.492
83,1,4,10,25.243
84,1,4,11,30.007
85,1,4,12,37.772
86,1,4,13,33.525
87,1,4,14,25.560
88,1,4,15,7.924
